Membership No  Date Joined  Active  
    41915      2015-8-5     no    
    51195      2020-12-12   no    
    57172      2015-9-12    no    
    19725      2019-3-14    no    
    20477      2016-5-20    no    
    78721      2019-6-3     no    
    99076      2019-5-21    no    
    72990      2018-7-7     no    
    53884      2018-12-18   no    
    42693      2017-1-15    no    
    17398      2015-4-4     no    
    95225      2020-6-21    no    
    71428      2015-4-19    no    
