Membership No  Date Joined  Active  
    52343      2020-6-15    no    
    17296      2020-3-4     no    
    65824      2017-8-19    no    
    93967      2016-7-13    no    
    22188      2016-5-8     no    
    21486      2020-7-21    no    
    90899      2018-6-12    no    
    23799      2016-2-9     no    
    87988      2019-6-2     no    
    34854      2015-4-7     no    
    20443      2020-9-19    no    
    35924      2018-9-5     no    
    75906      2016-11-11   no    
    57546      2016-12-17   no    
    69375      2019-4-15    no    
